Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
PGC,2.681,3.519,,BSDC1,-0.6,5.64,BTN2A1,0.809,5.633,,ATP12A,-0.275,3.68,,BCCIP,0.242,3.424,,,Cirrhotic,Training
APOBEC3B,2.671,6.124,,BST1,-0.796,2.297,BTN3A1,-0.198,3.827,,ATP1B1,1.181,5.226,,BDKRB2,0.355,3.231,,,Cirrhotic,Training
PLVAP,2.653,9.791,,BTG3-AS1,0.995,5.668,BTN3A2,0.93,5.329,,ATP2B2,0.812,4.458,,BDNF,0.175,3.016,,,Cirrhotic,Training
VWF,2.638,6.17,,BTLA,1.398,2.404,BTNL8,0.31,3.674,,ATP5E,0.636,3.337,,BEND3,0.21,4.549,,,Cirrhotic,Training
DCDC2,2.635,3.086,,BTN2A2,0.962,4.208,BUB1,4.233,44.156,,ATP6V0E1,0.508,3.023,,BEND6,-0.158,3.081,,,Cirrhotic,Training
PLCB1,2.627,5.133,,BTN3A1,0.709,2.61,CA11,0.396,4.436,,ATR,0.9,4.007,,BGN,-0.71,2.905,,,Cirrhotic,Training
COL1A2,2.611,3.366,,BTNL8,4.006,9.954,CA12,1.162,3.416,,AURKA,1.237,3.015,,BICD2,-0.453,3.308,,,Cirrhotic,Training
HKDC1,2.588,4.955,,BUB1,4.233,44.156,CABP1,-0.076,2.61,,AURKB,1.692,5.022,,BIRC5,1.131,5.447,,,Cirrhotic,Training
CCNE2,2.587,5.549,,BUB1B,3.969,45.659,CACNA1D,-0.143,2.855,,AVPR1A,-0.546,3.248,,BRE,0.456,4.088,,,Cirrhotic,Training
EDIL3,2.556,4.404,,BUB1B-PAK6,2.152,16.712,CACNA1I,0.262,2.877,,AZGP1,-0.93,3.5,,BRF1,0.34,3.675,,,Cirrhotic,Training
CENPU,2.545,5.293,,BZW1,-0.324,1.677,CARD6,1.028,6.047,,B2M,0.283,3.337,,BSG,0.64,2.954,,,Cirrhotic,Training
LINC01296///DUXAP10,2.541,7.702,,CCDC93,0.822,12.401,CARMIL1,1.39,4.107,,B3GALNT2,0.735,3.21,,BTBD16,0.527,3.772,,,Cirrhotic,Training
